order_id;checkout_id;brand_id;retailer_id;order_amount;has_discount;fees_percentage;payment_cost_percentage;shipping_cost_euro;net_margin;is_profitable
1223;629;159;1646;133.2;0;0.15;0.05;15.8001345;-2.4801345;0
3890;586;475;1527;153;0;0.15;0.05;15.79;-0.49;0
7039;648;475;1531;129.6;0;0.15;0.05;15.79;-2.83;0
6500;1338;387;3285;244.56;0;0.15;0.05;15.78;8.676;1
6503;2156;429;1685;121.08;0;0.15;0.05;15.77;-3.662;0
3164;1140;495;1007;154.8;0;0.15;0.05;15.76;-0.28;0
5681;2120;271;167;133.2;0;0.15;0.05;15.7369171;-2.4169171;0
6047;1870;429;2697;128.33;0;0.15;0.05;15.72;-2.887;0
5076;1906;909;4567;162;100;0.05;0.05;15.72;-115.72;0
6037;2322;909;5087;162;100;0.05;0.05;15.72;-115.72;0
1553;755;44;1903;113.95;0;0.15;0.05;15.7043067;-4.3093067;0
6953;2581;484;5149;139.15;0;0.15;0.05;15.7;-1.785;0
826;450;202;1238;205;0;0.15;0.05;15.6084999;4.8915001;1
9662;2914;744;1865;115;0;0.15;0.05;15.6012781;-4.1012781;0
2285;1045;223;1627;116.17;0;0.15;0.05;15.6;-3.983;0
2066;790;388;1957;106.35;0;0.15;0.05;15.6;-4.965;0
1799;805;229;2005;486;0;0.15;0.05;15.59;33.01;1
10989;527;1090;1045;105.96;0;0.15;0.05;15.59;-4.994;0
10490;2732;1130;4778;127.92;0;0.15;0.05;15.59;-2.798;0
5780;2285;414;1388;458.76;0;0.15;0.05;15.5499717;30.3260283;1
9571;3126;1025;691;106.99;0;0.15;0.05;15.5375911;-4.8385911;0
9081;1090;604;1555;112.04;0;0.15;0.05;15.5330009;-4.3290009;0
1123;87;4;17;284.85;0;0.15;0.05;15.52;12.965;1
5632;2148;362;4880;120;100;0.05;0.05;15.52;-115.52;0
8257;2963;1046;5276;120;0;0.15;0.05;15.507996;-3.507996;0
1683;803;409;1046;105;0;0.15;0.05;15.5;-5;0
7117;2629;499;5440;112.5;0;0.15;0.05;15.5;-4.25;0
6956;2578;512;5375;102;0;0.15;0.05;15.5;-5.3;0
9698;733;533;190;102.81;0;0.15;0.05;15.5;-5.219;0
4670;1585;801;334;674;0;0.15;0.05;15.5;51.9;1
10686;3586;971;6642;103.48;0;0.15;0.05;15.5;-5.152;0
11143;3764;1033;4501;132.4;0;0.15;0.05;15.5;-2.26;0
10486;2539;997;519;140.4;0;0.15;0.05;15.48;-1.44;0
9764;2902;997;1275;216;0;0.15;0.05;15.48;6.12;1
10191;3557;997;2042;136.8;0;0.15;0.05;15.48;-1.8;0
7144;3320;997;3580;124.8;0;0.15;0.05;15.48;-3;0
7983;2591;997;4757;140.4;0;0.15;0.05;15.48;-1.44;0
7502;2723;997;5048;124.8;0;0.15;0.05;15.48;-3;0
1362;691;281;1768;122.25;100;0.05;0.05;15.468803;-115.468803;0
9867;3326;8;2412;516;100;0.05;0.05;15.46;-115.46;0
1488;731;41;1848;116.79;0;0.15;0.05;15.4298311;-3.7508311;0
8416;2257;86;4983;285.12;0;0.15;0.05;15.409263;13.102737;1
10036;3514;830;6313;131.68;0;0.15;0.05;15.4063287;-2.2383287;0
1968;611;311;17;172.81;0;0.15;0.05;15.4;1.881;1
1003;540;103;1322;127.02;0;0.15;0.05;15.3915169;-2.6895169;0
2484;1131;21;2721;136.8;0;0.15;0.05;15.39;-1.71;0
7726;2797;445;5647;187.91;0;0.15;0.05;15.39;3.401;1
11063;3809;1172;6879;105.82;0;0.15;0.05;15.39;-4.808;0
11170;3836;1197;6903;162.6;0;0.15;0.05;15.39;0.87;1
